model,epoch,time,cse,type,backbone
light_clf24,1,19.043464183807373,184.6344451904297,classification,light
light_clf24,2,6.256442070007324,181.44667053222656,classification,light
light_clf24,3,6.127334356307983,175.3655548095703,classification,light
light_clf24,4,6.07589316368103,183.29444885253906,classification,light
light_clf24,5,6.129127740859985,175.3655548095703,classification,light
light_clf24,6,6.207345724105835,175.3655548095703,classification,light
light_clf24,7,6.284570932388306,175.3655548095703,classification,light
light_clf24,8,6.105724096298218,183.29444885253906,classification,light
light_clf24,9,6.176494836807251,175.3655548095703,classification,light
light_clf144,1,17.352521896362305,185.0594482421875,classification,light
light_clf144,2,10.166719913482666,184.5722198486328,classification,light
light_clf144,3,10.021256446838379,183.71665954589844,classification,light
light_clf144,4,9.994026184082031,183.71665954589844,classification,light
light_clf144,5,10.002793550491333,183.71665954589844,classification,light
light_clf144,6,9.996350765228271,183.71665954589844,classification,light
light_clf144,7,9.982830047607422,183.71665954589844,classification,light
light_clf144,8,9.940290212631226,183.71665954589844,classification,light
light_clf144,9,9.964122533798218,183.71665954589844,classification,light
light_clf720,1,14.580549716949463,183.92832946777344,classification,light
light_clf720,2,9.934334993362427,183.92832946777344,classification,light
light_clf720,3,10.021333932876587,183.92832946777344,classification,light
light_clf720,4,10.081769466400146,183.92832946777344,classification,light
light_clf720,5,10.028269529342651,183.92832946777344,classification,light
light_clf720,6,9.999380111694336,183.92832946777344,classification,light
light_clf720,7,9.955493927001953,183.92832946777344,classification,light
light_clf720,8,10.010282278060913,183.92832946777344,classification,light
light_clf720,9,10.032001256942749,183.92832946777344,classification,light
light_reg,1,14.612402439117432,181.27371215820312,regression,light
light_reg,2,10.359745025634766,182.88812255859375,regression,light
light_reg,3,10.157949447631836,181.72100830078125,regression,light
light_reg,4,10.05427861213684,182.53395080566406,regression,light
light_reg,5,10.086998462677002,182.03379821777344,regression,light
light_reg,6,10.072585821151733,182.36558532714844,regression,light
light_reg,7,10.044583082199097,182.13819885253906,regression,light
light_reg,8,10.038606405258179,181.77938842773438,regression,light
light_reg,9,10.624815940856934,181.69754028320312,regression,light
light_reg,10,10.239022493362427,182.2265625,regression,light
light_reg,11,10.325113534927368,180.2142333984375,regression,light
light_reg,12,9.933390378952026,176.34652709960938,regression,light
light_reg,13,9.901914119720459,172.67701721191406,regression,light
light_reg,14,9.914316892623901,171.12033081054688,regression,light
light_reg,15,9.898424863815308,169.5274658203125,regression,light
light_reg,16,9.85067367553711,169.40994262695312,regression,light
light_reg,17,9.8347487449646,166.31173706054688,regression,light
light_reg,18,9.86620831489563,163.62551879882812,regression,light
light_reg,19,9.82246994972229,160.6553955078125,regression,light
light_reg,20,9.864029169082642,160.33779907226562,regression,light
light_reg,21,9.829756021499634,161.07273864746094,regression,light
light_reg,22,9.83319616317749,155.97972106933594,regression,light
light_reg,23,9.862519979476929,156.40269470214844,regression,light
light_reg,24,9.843904495239258,151.3732147216797,regression,light
light_reg,25,9.95296597480774,149.9257354736328,regression,light
light_reg,26,10.014250993728638,147.69874572753906,regression,light
light_reg,27,9.815224409103394,148.99781799316406,regression,light
light_reg,28,9.869666337966919,146.79257202148438,regression,light
light_reg,29,9.86920952796936,147.9406280517578,regression,light
