model,epoch,time_s,lr,loss,val_loss,accuracy,val_accuracy,mae,val_mae,time_float_mae,val_time_float_mae,time_angle_vec_mae,val_time_angle_vec_mae,hour_head_accuracy,val_hour_head_accuracy,min_head_mae,val_min_head_mae,hour_head_loss,val_hour_head_loss,min_head_loss,val_min_head_loss,train_cse_mean,train_cse_median,train_cse_p90,train_acc_le_1m,train_acc_le_5m,train_acc_le_10m,val_cse_mean,val_cse_median,val_cse_p90,val_acc_le_1m,val_acc_le_5m,val_acc_le_10m
light__classifier_24bins,1,19.481977701187134,0.0010000000474974513,3.19028902053833,3.179311752319336,0.039920635521411896,0.03888889029622078,,,,,,,,,,,,,,,180.70738220214844,181.0,324.0,0.0044444444444444444,0.015396825396825397,0.029682539682539682,180.96888732910156,181.0,327.0,0.0022222222222222222,0.014444444444444444,0.027777777777777776
light__classifier_24bins,2,3.8096301555633545,0.0010000000474974513,3.178762912750244,3.179217576980591,0.03928571566939354,0.041111111640930176,,,,,,,,,,,,,,,180.08721923828125,181.0,324.0,0.0038095238095238095,0.015793650793650794,0.029603174603174603,183.6844482421875,185.0,326.0,0.005,0.01611111111111111,0.03111111111111111
light__classifier_24bins,3,3.6914222240448,0.0010000000474974513,3.178644895553589,3.179633855819702,0.04055555537343025,0.041111111640930176,,,,,,,,,,,,,,,180.08721923828125,181.0,324.0,0.0038095238095238095,0.015793650793650794,0.029603174603174603,183.6844482421875,185.0,326.0,0.005,0.01611111111111111,0.03111111111111111
light__classifier_24bins,4,3.844815492630005,0.0010000000474974513,3.1785192489624023,3.1792964935302734,0.041428569704294205,0.039444442838430405,,,,,,,,,,,,,,,179.55372619628906,180.0,324.0,0.004285714285714286,0.016666666666666666,0.030238095238095238,183.62445068359375,185.5,326.0,0.005,0.015555555555555555,0.030555555555555555
light__classifier_24bins,5,3.79546856880188,0.0005000000237487257,3.1786704063415527,3.1792871952056885,0.04119047522544861,0.04500000178813934,,,,,,,,,,,,,,,172.1519775390625,168.0,320.0,0.004920634920634921,0.01904761904761905,0.03468253968253968,175.82666015625,174.0,323.0999755859375,0.005,0.017777777777777778,0.03166666666666667
light__classifier_24bins,6,3.6749913692474365,0.0005000000237487257,3.1761584281921387,3.172445774078369,0.04793650656938553,0.03999999910593033,,,,,,,,,,,,,,,174.06912231445312,171.5,319.0,0.004841269841269842,0.01634920634920635,0.0326984126984127,177.6677703857422,176.0,321.0,0.005,0.015555555555555555,0.028888888888888888
light__classifier_24bins,7,3.733384370803833,0.0005000000237487257,3.157794713973999,3.1390891075134277,0.0533333346247673,0.0416666679084301,,,,,,,,,,,,,,,172.30023193359375,169.0,318.0,0.005714285714285714,0.01873015873015873,0.035793650793650794,175.73666381835938,174.0,319.0,0.005,0.015,0.03
light__classifier_24bins,8,3.691812515258789,0.0005000000237487257,3.0828652381896973,3.0359690189361572,0.06380952149629593,0.06833333522081375,,,,,,,,,,,,,,,162.14389038085938,151.0,315.0,0.010158730158730159,0.030476190476190476,0.05619047619047619,164.76222229003906,160.5,319.0,0.0077777777777777776,0.02722222222222222,0.05555555555555555
light__classifier_24bins,9,3.681589365005493,0.0005000000237487257,2.992403268814087,2.9396984577178955,0.07452380657196045,0.07999999821186066,,,,,,,,,,,,,,,159.6221466064453,143.5,316.0,0.00873015873015873,0.036587301587301585,0.0688095238095238,161.6888885498047,148.0,319.0,0.008888888888888889,0.03277777777777778,0.06444444444444444
light__classifier_24bins,10,3.6799659729003906,0.0005000000237487257,2.9252195358276367,2.8904621601104736,0.08388888835906982,0.09055555611848831,,,,,,,,,,,,,,,147.76626586914062,131.0,300.0,0.008015873015873016,0.034126984126984124,0.06722222222222222,151.44778442382812,132.0,307.0,0.011111111111111112,0.04,0.06888888888888889
light__classifier_24bins,11,3.685636043548584,0.0005000000237487257,2.8944857120513916,2.875262975692749,0.08634920418262482,0.09555555880069733,,,,,,,,,,,,,,,149.69451904296875,128.0,313.0,0.009206349206349206,0.03563492063492064,0.06492063492063492,147.03443908691406,129.0,301.0,0.012777777777777779,0.042777777777777776,0.07277777777777777
light__classifier_24bins,12,3.6889758110046387,0.0005000000237487257,2.875336170196533,2.8467047214508057,0.0915079340338707,0.11444444209337234,,,,,,,,,,,,,,,149.9824676513672,127.0,310.0,0.011111111111111112,0.0426984126984127,0.08531746031746032,146.0822296142578,124.0,304.0,0.009444444444444445,0.04055555555555555,0.08055555555555556
light__classifier_24bins,13,3.672847032546997,0.0005000000237487257,2.850843667984009,2.8308799266815186,0.09230158478021622,0.09444444626569748,,,,,,,,,,,,,,,152.46722412109375,133.0,311.0,0.01373015873015873,0.04380952380952381,0.08079365079365079,154.39332580566406,140.0,305.0999755859375,0.010555555555555556,0.03722222222222222,0.07388888888888889
light__classifier_24bins,14,3.651339292526245,0.0005000000237487257,2.838542938232422,2.812664270401001,0.0974603146314621,0.10499999672174454,,,,,,,,,,,,,,,151.23658752441406,132.0,311.0,0.014206349206349207,0.04388888888888889,0.08333333333333333,149.94778442382812,131.0,306.0,0.015555555555555555,0.04666666666666667,0.08222222222222222
light__classifier_24bins,15,3.760702133178711,0.0005000000237487257,2.821009635925293,2.812481641769409,0.10230159014463425,0.10999999940395355,,,,,,,,,,,,,,,147.76087951660156,126.0,309.0,0.010079365079365079,0.04238095238095238,0.08365079365079366,149.70555114746094,129.0,315.0,0.008888888888888889,0.03833333333333333,0.07833333333333334
light__classifier_24bins,16,3.7104973793029785,0.0005000000237487257,2.806757926940918,2.777381658554077,0.10309524089097977,0.10499999672174454,,,,,,,,,,,,,,,144.10992431640625,121.0,309.0,0.012380952380952381,0.046031746031746035,0.08761904761904762,148.2644500732422,125.0,312.0,0.016666666666666666,0.04666666666666667,0.08166666666666667
