model,activation,initializer,optimizer,regularizer,dropout,test_acc,test_loss,plot
mlp,relu,random_normal,adam_good,,0.3,0.4198000133037567,1.6242425441741943,src/task_1/plots/cifar10/mlp_top5_relu_random_normal_adam_good_nan_drop0.3.png
mlp,sigmoid,he_uniform,adam_good,,0.3,0.47450000047683716,1.4882279634475708,src/task_1/plots/cifar10/mlp_top16_sigmoid_he_uniform_adam_good_nan_drop0.3.png
mlp,relu,he_uniform,sgd_good,,,0.5024999976158142,1.4665627479553223,src/task_1/plots/cifar10/mlp_top0_relu_he_uniform_sgd_good_nan_dropnan.png
cnn,relu,random_normal,adam_good,,0.3,0.7046999931335449,1.6233268976211548,src/task_1/plots/cifar10/cnn_top5_relu_random_normal_adam_good_nan_drop0.3.png
cnn,relu,he_uniform,sgd_good,,0.3,0.7268000245094299,1.336488962173462,src/task_1/plots/cifar10/cnn_top3_relu_he_uniform_sgd_good_nan_drop0.3.png
cnn,relu,he_uniform,sgd_good,,,0.7139999866485596,1.8458664417266846,src/task_1/plots/cifar10/cnn_top0_relu_he_uniform_sgd_good_nan_dropnan.png
